









Frequency of observations in the selected location(s).:
Number of taxa: 	282

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	47.0	27.0	28.0	20.0	26.0	23.0	27.0	35.0	36.0	34.0	18.0	39.0	34.0	20.0	24.0	21.0	35.0	40.0	17.0	31.0	14.0	12.0	15.0	13.0	15.0	13.0	31.0	40.0	22.0	34.0	33.0	40.0	45.0	23.0	27.0	38.0	28.0	22.0	25.0	31.0	32.0	37.0	33.0	34.0	18.0	14.0	13.0	49.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
West Indian Whistling-Duck (<em class="sci">Dendrocygna arborea</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2307692	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck (<em class="sci">Dendrocygna bicolor</em>)	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0	0.0015	0.0015	0.0	0.0015	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0	0.0015	0.0015	0.0015	
Snow Goose (<em class="sci">Anser caerulescens</em>)	0.2340426	0.2592593	0.0714286	0.05	0.0769231	0.0434783	0.0740741	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0612245	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0	0.0015	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.0015	0.0015	0.0015	0.15	0.1538462	0.1304348	0.0740741	0.1142857	0.1944444	0.1470588	0.1111111	0.025641	0.0588235	0.1	0.0833333	0.0015	0.0285714	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0015	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0588235	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type) (<em class="sci">Cairina moschata (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0294118	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0212766	0.0015	0.0015	0.05	0.0769231	0.0015	0.0	0.0571429	0.0277778	0.0588235	0.0555556	0.025641	0.1764706	0.1	0.1666667	0.1428571	0.2	0.05	0.2941176	0.0322581	0.1428571	0.0	0.0015	0.0015	0.0015	0.0	0.0	0.0015	0.0454545	0.0588235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0588235	0.0015	0.0714286	0.0015	0.0204082	
Garganey (<em class="sci">Spatula querquedula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0277778	0.0015	0.0	0.0	0.0	0.05	0.0416667	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0322581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.8297872	0.6666667	0.7857143	0.7	0.9230769	0.8695652	0.7407407	0.8571429	0.8611111	0.7352941	0.6666667	0.8205128	0.9117647	1.0	0.75	0.5238095	0.1428571	0.05	0.0015	0.0322581	0.0015	0.0833333	0.0	0.0	0.0666667	0.0	0.0	0.025	0.1363636	0.0882353	0.0015	0.125	0.3555556	0.6086957	0.5555556	0.5526316	0.75	0.7727273	0.88	0.9354839	0.875	0.8918919	0.7272727	0.7058824	0.8333333	0.7142857	0.6153846	0.7346939	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.212766	0.1851852	0.1071429	0.0015	0.2692308	0.5217391	0.3333333	0.2	0.1388889	0.1764706	0.2777778	0.0512821	0.0294118	0.0	0.0416667	0.047619	0.0285714	0.0	0.0	0.0322581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0434783	0.0015	0.0263158	0.0357143	0.0909091	0.04	0.0015	0.0625	0.0810811	0.1212121	0.0588235	0.1666667	0.2857143	0.0769231	0.1836735	
Gadwall (<em class="sci">Mareca strepera</em>)	0.0425532	0.0740741	0.1428571	0.05	0.1923077	0.0869565	0.0740741	0.1142857	0.1666667	0.0882353	0.0015	0.0769231	0.1176471	0.1	0.0015	0.0	0.0	0.25	0.1176471	0.1290323	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0606061	0.0	0.0	0.0	0.0015	0.0408163	
Eurasian Wigeon (<em class="sci">Mareca penelope</em>)	0.0425532	0.1111111	0.0714286	0.1	0.0769231	0.0015	0.0740741	0.0285714	0.0555556	0.0015	0.0015	0.025641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0015	0.0612245	
American Wigeon (<em class="sci">Mareca americana</em>)	0.2553191	0.2962963	0.3571429	0.5	0.4230769	0.2173913	0.3703704	0.4	0.5	0.7058824	0.5555556	0.2051282	0.4411765	0.25	0.2083333	0.0015	0.0	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0322581	0.03125	0.1351351	0.0606061	0.1176471	0.0015	0.2142857	0.0015	0.1836735	
Eurasian/American Wigeon (<em class="sci">Mareca penelope/americana</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	
