









Frequency of observations in the selected location(s).:
Number of taxa: 	357

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	40.0	36.0	45.0	61.0	32.0	29.0	57.0	83.0	59.0	54.0	51.0	76.0	52.0	68.0	61.0	72.0	59.0	105.0	103.0	111.0	68.0	73.0	56.0	53.0	46.0	58.0	64.0	91.0	68.0	63.0	83.0	102.0	72.0	36.0	44.0	56.0	50.0	31.0	46.0	52.0	57.0	56.0	37.0	43.0	24.0	23.0	40.0	57.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck (<em class="sci">Dendrocygna bicolor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036036	0.0441176	0.0	0.0	0.0	0.0	0.0	0.015625	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose (<em class="sci">Anser caerulescens</em>)	0.6	0.5555556	0.4222222	0.7540984	0.59375	0.5172414	0.6315789	0.8313253	0.8135593	0.8333333	0.7843137	0.7105263	0.4038462	0.2794118	0.0655738	0.1111111	0.0	0.0666667	0.0291262	0.027027	0.0294118	0.0	0.0	0.0	0.0217391	0.0344828	0.015625	0.0879121	0.0294118	0.031746	0.0	0.0098039	0.0	0.0	0.0227273	0.0535714	0.0	0.0967742	0.1086957	0.0769231	0.0350877	0.0892857	0.2162162	0.255814	0.25	0.3478261	0.5	0.5438596	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0120482	0.0169492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose (<em class="sci">Anser caerulescens/rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0120482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015625	0.010989	0.0147059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.85	0.8611111	0.8222222	0.8852459	0.78125	0.862069	0.8421053	0.8313253	0.8813559	0.8703704	0.8627451	0.9210526	0.9423077	0.7794118	0.8852459	0.9027778	0.8644068	0.8285714	0.8058252	0.7117117	0.4117647	0.2054795	0.1071429	0.0566038	0.0652174	0.1206897	0.03125	0.043956	0.1176471	0.047619	0.0361446	0.0294118	0.0277778	0.0555556	0.0227273	0.0892857	0.18	0.6451613	0.8913043	0.9230769	0.8947368	0.5178571	0.9459459	0.9534884	0.9583333	0.8695652	0.925	0.8947368	
