









Frequency of observations in the selected location(s).:
Number of taxa: 	190

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	15.0	12.0	25.0	34.0	30.0	54.0	45.0	31.0	28.0	24.0	19.0	32.0	21.0	7.0	4.0	21.0	17.0	25.0	26.0	24.0	21.0	16.0	17.0	17.0	5.0	6.0	6.0	10.0	9.0	5.0	14.0	27.0	12.0	17.0	20.0	22.0	19.0	27.0	30.0	42.0	32.0	19.0	4.0	14.0	14.0	8.0	7.0	7.0	

Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0666667	0.0	0.0	0.0	0.0333333	0.0	0.0	0.0	0.0357143	0.0416667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.4	0.1666667	0.16	0.0588235	0.2333333	0.3888889	0.4888889	0.4193548	0.4285714	0.4583333	0.2631579	0.34375	0.5714286	0.4285714	1.0	0.2380952	0.3529412	0.24	0.1153846	0.0416667	0.1428571	0.125	0.0	0.1176471	0.0	0.0	0.0	0.0	0.2222222	0.0	0.1428571	0.037037	0.1666667	0.0	0.0	0.3636364	0.5263158	0.5185185	0.2666667	0.2380952	0.34375	0.2105263	0.5	0.2857143	0.2142857	0.25	0.4285714	0.2857143	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0222222	0.0	0.0	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0645161	0.2857143	0.4166667	0.2105263	0.125	0.4285714	0.0	0.75	0.0952381	0.2352941	0.2	0.1538462	0.0833333	0.047619	0.0625	0.0	0.0	0.0	0.0	0.0	0.1	0.1111111	0.0	0.0	0.037037	0.0	0.0588235	0.0	0.0	0.1052632	0.4444444	0.1666667	0.1904762	0.09375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.0	0.1666667	0.08	0.0294118	0.0	0.0555556	0.1333333	0.1935484	0.2142857	0.2916667	0.2631579	0.15625	0.0952381	0.4285714	0.5	0.1904762	0.2941176	0.32	0.1538462	0.25	0.0952381	0.125	0.0588235	0.1176471	0.0	0.1666667	0.0	0.1	0.1111111	0.0	0.0714286	0.0	0.0	0.0	0.1	0.0454545	0.0	0.0740741	0.0666667	0.0238095	0.0	0.0	0.0	0.1428571	0.0714286	0.125	0.0	0.0	
Mallard (Domestic type) (<em class="sci">Anas platyrhynchos (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0416667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
