









Frequency of observations in the selected location(s).:
Number of taxa: 	218

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	48.0	26.0	39.0	60.0	31.0	31.0	39.0	47.0	42.0	28.0	43.0	59.0	29.0	23.0	37.0	36.0	28.0	45.0	37.0	46.0	27.0	28.0	19.0	39.0	14.0	15.0	24.0	23.0	20.0	20.0	13.0	24.0	11.0	10.0	15.0	28.0	24.0	12.0	19.0	29.0	33.0	10.0	13.0	24.0	19.0	18.0	43.0	51.0	

Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0344828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0208333	0.0	0.0	0.0333333	0.0322581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0232558	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0208333	0.0384615	0.0	0.0333333	0.0645161	0.0322581	0.0	0.0425532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0357143	0.0222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0232558	0.0392157	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.1875	0.3461538	0.3846154	0.2666667	0.3870968	0.3870968	0.5384615	0.4893617	0.452381	0.3571429	0.4186047	0.4576271	0.5862069	0.4347826	0.4594595	0.4444444	0.4642857	0.5777778	0.4054054	0.3478261	0.3703704	0.3928571	0.1578947	0.3076923	0.3571429	0.3333333	0.2083333	0.0869565	0.2	0.35	0.3846154	0.2916667	0.5454545	0.1	0.3333333	0.3214286	0.1666667	0.25	0.4736842	0.3103448	0.1515152	0.3	0.3846154	0.2083333	0.2105263	0.1111111	0.2325581	0.1960784	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.025641	0.0	0.0	0.0	0.0232558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0606061	0.0	0.0	0.0	0.0	0.0	0.0232558	0.0	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0416667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Trumpeter Swan (<em class="sci">Cygnus buccinator</em>)	0.0208333	0.0769231	0.025641	0.0333333	0.0322581	0.0	0.0	0.0212766	0.0238095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0416667	0.0	0.0	0.0	0.0588235	
