









Frequency of observations in the selected location(s).:
Number of taxa: 	158

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	31.0	19.0	21.0	22.0	19.0	35.0	26.0	31.0	17.0	18.0	26.0	30.0	21.0	20.0	15.0	18.0	11.0	13.0	11.0	23.0	16.0	14.0	16.0	37.0	23.0	13.0	16.0	28.0	28.0	21.0	33.0	23.0	24.0	25.0	35.0	47.0	65.0	28.0	35.0	46.0	23.0	38.0	31.0	24.0	25.0	24.0	13.0	32.0	

Plumed Whistling-Duck (<em class="sci">Dendrocygna eytoni</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0425532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0625	
Wandering Whistling-Duck (<em class="sci">Dendrocygna arcuata</em>)	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0645161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0357143	0.0952381	0.0	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0263158	0.0	0.0	0.0	0.0	0.0	0.0	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.0015	0.0526316	0.0	0.0	0.0	0.0	0.0	0.0	0.0588235	0.0	0.0384615	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0869565	0.0	0.0	0.0625	0.0015	0.0434783	0.0	0.0	0.0015	0.0015	0.0	0.0015	0.0	0.0416667	0.0	0.0	0.0425532	0.0153846	0.0	0.0285714	0.0217391	0.0	0.0	0.0322581	0.0015	0.0	0.0	0.0	0.0	
Australian Shelduck (<em class="sci">Tadorna tadornoides</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0322581	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type) (<em class="sci">Cairina moschata (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Maned Duck (<em class="sci">Chenonetta jubata</em>)	0.6451613	0.4210526	0.4761905	0.6363636	0.5263158	0.5714286	0.5769231	0.6129032	0.6470588	0.6111111	0.4615385	0.6666667	0.5238095	0.55	0.6	0.6111111	0.5454545	0.6923077	0.4545455	0.6521739	0.75	0.6428571	0.625	0.4864865	0.7826087	0.7692308	0.5	0.5357143	0.6785714	0.6666667	0.6363636	0.6086957	0.875	0.76	0.6285714	0.7021277	0.6	0.6785714	0.7714286	0.7608696	0.826087	0.6052632	0.6129032	0.5416667	0.6	0.875	0.8461538	0.78125	
Australian Shoveler (<em class="sci">Spatula rhynchotis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615	0.0	0.0	0.0	0.0384615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pacific Black Duck (<em class="sci">Anas superciliosa</em>)	0.516129	0.6315789	0.5238095	0.5454545	0.4210526	0.4285714	0.5384615	0.6129032	0.4705882	0.5	0.6923077	0.6666667	0.3809524	0.6	0.5333333	0.5555556	0.3636364	0.5384615	0.6363636	0.4782609	0.8125	0.5714286	0.5625	0.3513514	0.6521739	0.7692308	0.375	0.5714286	0.5357143	0.5238095	0.5454545	0.5652174	0.5833333	0.48	0.5142857	0.6808511	0.4769231	0.6785714	0.7428571	0.5869565	0.6086957	0.6315789	0.483871	0.4583333	0.48	0.5416667	0.5384615	0.6875	
