









Frequency of observations in the selected location(s).:
Number of taxa: 	318

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	85.0	107.0	112.0	114.0	104.0	70.0	110.0	104.0	95.0	138.0	135.0	210.0	160.0	155.0	110.0	113.0	105.0	116.0	108.0	136.0	75.0	72.0	53.0	77.0	52.0	75.0	95.0	87.0	64.0	69.0	56.0	97.0	70.0	68.0	75.0	93.0	80.0	94.0	72.0	126.0	81.0	82.0	87.0	77.0	88.0	82.0	69.0	74.0	

Black-bellied Whistling-Duck (<em class="sci">Dendrocygna autumnalis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1176471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0823529	0.0373832	0.125	0.0701754	0.0576923	0.1	0.0545455	0.0480769	0.0210526	0.0072464	0.0222222	0.0047619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0079365	0.0123457	0.0365854	0.0344828	0.025974	0.0568182	0.0365854	0.1014493	0.1351351	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0089286	0.0	0.0096154	0.0	0.0	0.0096154	0.0	0.0	0.0074074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0123457	0.0	0.0	0.012987	0.0	0.0	0.0	0.0	
Brant (<em class="sci">Branta bernicla</em>)	0.8235294	0.8130841	0.8839286	0.7982456	0.875	0.8428571	0.7454545	0.7884615	0.8947368	0.8188406	0.7851852	0.7857143	0.88125	0.916129	0.9363636	0.9469027	0.9619048	0.8534483	0.8333333	0.2426471	0.0533333	0.0277778	0.0188679	0.012987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0147059	0.0	0.0107527	0.075	0.2765957	0.5277778	0.8571429	0.9382716	0.9512195	0.9770115	0.961039	0.9545455	0.9146341	0.9710145	0.9324324	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.8941176	0.8317757	0.9375	0.9385965	0.9038462	0.8857143	0.9181818	0.8557692	0.8947368	0.7318841	0.6	0.6238095	0.54375	0.4967742	0.4	0.4955752	0.3333333	0.3103448	0.3240741	0.3455882	0.3866667	0.3472222	0.245283	0.1038961	0.0961538	0.12	0.0947368	0.2643678	0.28125	0.2173913	0.2321429	0.2783505	0.2857143	0.3529412	0.4533333	0.4946237	0.65	0.5744681	0.6388889	0.484127	0.5185185	0.6341463	0.7126437	0.7792208	0.9090909	0.8658537	0.9130435	0.9189189	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.0	0.0	0.0089286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0135135	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0096154	0.0142857	0.0	0.0	0.0	0.0144928	0.0	0.0	0.00625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0121951	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.3411765	0.5233645	0.4553571	0.3684211	0.4519231	0.4142857	0.3545455	0.3846154	0.5368421	0.557971	0.6592593	0.7142857	0.525	0.6645161	0.5454545	0.619469	0.6285714	0.4482759	0.3981481	0.3529412	0.2133333	0.125	0.0943396	0.1038961	0.0576923	0.0266667	0.0315789	0.0344828	0.0625	0.057971	0.0892857	0.0721649	0.1714286	0.2647059	0.28	0.172043	0.2875	0.2553191	0.2361111	0.2698413	0.1975309	0.2195122	0.091954	0.1558442	0.1818182	0.1585366	0.2318841	0.4594595	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0096154	0.0	0.0072464	0.0	0.0095238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
