









Frequency of observations in the selected location(s).:
Number of taxa: 	269

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	65.0	68.0	72.0	81.0	41.0	69.0	100.0	42.0	45.0	46.0	39.0	50.0	54.0	43.0	51.0	78.0	68.0	110.0	98.0	59.0	15.0	15.0	11.0	11.0	5.0	3.0	3.0	8.0	5.0	8.0	9.0	22.0	39.0	53.0	51.0	53.0	45.0	37.0	45.0	69.0	42.0	40.0	64.0	48.0	47.0	24.0	26.0	66.0	

Snow Goose (<em class="sci">Anser caerulescens</em>)	0.0	0.0294118	0.0138889	0.0015	0.0731707	0.057971	0.12	0.0	0.0222222	0.0	0.0	0.0	0.0	0.0	0.0392157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ross's Goose (<em class="sci">Anser rossii</em>)	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0138889	0.0246914	0.0243902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205	0.0	0.0	0.0102041	0.0	0.0666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025641	0.0	0.0	0.0	0.0	0.0	0.0	0.0144928	0.0	0.0	0.03125	0.0	0.0212766	0.0	0.0769231	0.0454545	
Brant (<em class="sci">Branta bernicla</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.0	0.0	0.0	0.0	0.0	0.4927536	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.0461538	0.0	0.0694444	0.0740741	0.0487805	0.0144928	0.04	0.0	0.0444444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0238095	0.25	0.140625	0.0	0.0212766	0.0416667	0.0384615	0.1666667	
Canada Goose (<em class="sci">Branta canadensis</em>)	1.0	0.8676471	0.9027778	0.8395062	0.902439	0.9855072	0.98	0.952381	0.9333333	0.9782609	0.8974359	0.78	0.6296296	0.6976744	0.6078431	0.7051282	0.6029412	0.5181818	0.5408163	0.4576271	0.3333333	0.2	0.0909091	0.0909091	0.0	0.0	0.0	0.25	0.6	0.5	0.3333333	0.1818182	0.2051282	0.2075472	0.2745098	0.4528302	0.5555556	0.6216216	0.6	0.7391304	0.8333333	1.0	0.953125	0.8958333	0.9574468	0.9166667	0.9615385	1.0	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.0	0.0	0.0	0.0123457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anser/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0015	0.0	0.0	0.0185185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
