









Frequency of observations in the selected location(s).:
Number of taxa: 	133

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	6.0	7.0	7.0	9.0	6.0	9.0	12.0	6.0	5.0	3.0	7.0	11.0	12.0	7.0	3.0	2.0	6.0	2.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	3.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	3.0	2.0	5.0	2.0	11.0	9.0	5.0	8.0	7.0	4.0	3.0	3.0	10.0	

Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.1666667	0.0	0.0	0.0015	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	1.0	0.7142857	0.7142857	0.5555556	0.8333333	0.6666667	0.8333333	1.0	0.6	0.6666667	0.8571429	0.5454545	0.75	0.5714286	0.6666667	0.5	0.5	0.5	1.0	0.0015	0.5	0.0	0.0	0.0	0.0015	0.3333333	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.5	0.4	0.5	0.3636364	0.4444444	0.6	0.75	0.7142857	0.75	0.6666667	0.6666667	0.5	
Domestic goose sp. (Domestic type) x Canada Goose (hybrid) (<em class="sci">Anser sp. (Domestic type) x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.2857143	0.0	0.0	0.0	0.0	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	0.0	0.0	0.1428571	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.1818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	
Gadwall (<em class="sci">Mareca strepera</em>)	0.0	0.0	0.1428571	0.0	0.1666667	0.0	0.0	0.1666667	0.6	0.0	0.1428571	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.2857143	0.0	0.3333333	0.0	0.1	
Eurasian Wigeon (<em class="sci">Mareca penelope</em>)	0.1666667	0.1428571	0.1428571	0.1111111	0.3333333	0.1111111	0.3333333	0.1666667	0.4	0.6666667	0.2857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.25	0.2857143	0.0	0.0	0.0	0.1	
