









Frequency of observations in the selected location(s).:
Number of taxa: 	136

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	5.0	6.0	2.0	2.0	3.0	4.0	7.0	8.0	0.0	4.0	3.0	4.0	0.0	1.0	3.0	0.0	4.0	3.0	0.0	1.0	1.0	2.0	0.0	6.0	1.0	1.0	1.0	8.0	1.0	2.0	2.0	0.0	1.0	3.0	1.0	2.0	1.0	1.0	5.0	5.0	1.0	1.0	3.0	2.0	3.0	1.0	2.0	5.0	

Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	
Muscovy Duck (Domestic type) (<em class="sci">Cairina moschata (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Maned Duck (<em class="sci">Chenonetta jubata</em>)	0.6	0.1666667	1.0	0.5	0.3333333	0.5	0.4285714	0.375	0.0	0.5	0.3333333	0.0	0.0	1.0	0.6666667	0.0	0.5	0.6666667	0.0015	1.0	1.0	0.5	0.0	0.6666667	1.0	0.0	1.0	0.375	0.0	0.0	0.0	0.0015	0.0	0.3333333	0.0	0.5	1.0	0.0	0.4	0.6	1.0	0.0	0.6666667	0.0	0.0015	0.0	0.5	0.0	
Pacific Black Duck (<em class="sci">Anas superciliosa</em>)	0.8	0.6666667	1.0	0.5	0.6666667	0.5	0.4285714	0.5	0.0	0.25	0.3333333	0.25	0.0	1.0	0.3333333	0.0	0.25	0.3333333	0.0015	1.0	1.0	0.5	0.0	0.3333333	1.0	1.0	0.0	0.25	1.0	0.0	0.0	0.0015	0.0015	0.6666667	0.0	0.0	1.0	1.0	0.8	0.6	1.0	1.0	0.6666667	0.5	0.0015	1.0	0.5	0.8	
Mallard (Domestic type) (<em class="sci">Anas platyrhynchos (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gray Teal (<em class="sci">Anas gracilis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	
Chestnut Teal (<em class="sci">Anas castanea</em>)	0.2	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	
Hardhead (<em class="sci">Aythya australis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	
Australian Brushturkey (<em class="sci">Alectura lathami</em>)	0.8	0.8333333	1.0	0.5	1.0	1.0	0.7142857	0.625	0.0	0.5	1.0	0.5	0.0	1.0	0.6666667	0.0015	0.5	1.0	0.0015	0.0015	1.0	1.0	0.0	0.5	1.0	0.0015	1.0	0.75	0.0	0.5	0.0015	0.0015	0.0	0.6666667	0.0015	0.5	0.0015	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.5	0.6	
Helmeted Guineafowl (Domestic type) (<em class="sci">Numida meleagris (Domestic type)</em>)	0.2	0.1666667	0.0	0.0	0.3333333	0.25	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.1666667	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.0	0.3333333	0.0	0.0	0.0	0.0	0.0	
Indian Peafowl (Domestic type) (<em class="sci">Pavo cristatus (Domestic type)</em>)	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333	0.0	0.0	0.0	0.0	0.0	
Red Junglefowl (Domestic type) (<em class="sci">Gallus gallus (Domestic type)</em>)	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Australasian Grebe (<em class="sci">Tachybaptus novaehollandiae</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
grebe sp. (<em class="sci">Podicipedidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rock Pigeon (<em class="sci">Columba livia</em>)	0.8	0.6666667	1.0	0.5	0.0	0.5	0.4285714	0.5	0.0	0.25	0.3333333	0.5	0.0	1.0	0.3333333	0.0	0.0	0.6666667	0.0015	1.0	1.0	1.0	0.0	0.5	1.0	1.0	0.0015	0.5	1.0	0.0	0.0	0.0015	0.0015	1.0	0.0	0.0015	1.0	1.0	0.6	0.4	1.0	0.0	0.3333333	0.5	0.0015	1.0	0.5	0.6	
White-headed Pigeon (<em class="sci">Columba leucomela</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Spotted Dove (<em class="sci">Streptopelia chinensis</em>)	0.2	0.0	0.0	0.0	0.0	0.0	0.4285714	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.1666667	0.0015	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.4	
Brown Cuckoo-Dove (<em class="sci">Macropygia phasianella</em>)	0.0	0.0	0.0	0.0	0.3333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Bronzewing (<em class="sci">Phaps chalcoptera</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
